FSA,CUSTOMER_TYPE,HOUR,DATE,TOTAL_CONSUMPTION
L9G,Residential,6,2018-12-24,6557.6
L9G,Residential,6,2018-12-25,6635.1
L9G,Residential,6,2018-12-26,6573.9
L9G,Residential,6,2018-12-27,6693.7
L9G,Residential,6,2018-12-28,6082.1
L9G,Residential,6,2018-12-29,5979.9
L9G,Residential,6,2018-12-30,6495.2
L9G,Residential,6,2018-12-31,6501.1
L9G,Residential,7,2018-10-01,7436.1
L9G,Residential,7,2018-10-02,7377.9
L9G,Residential,7,2018-10-03,7121.3
L9G,Residential,7,2018-10-04,7054.9
L9G,Residential,7,2018-10-05,7071.3
L9G,Residential,7,2018-10-06,6339.8
L9G,Residential,7,2018-10-07,5997.3
L9G,Residential,7,2018-10-08,5803.9
L9G,Residential,7,2018-10-09,6967.8
L9G,Residential,7,2018-10-10,7398.8
L9G,Residential,7,2018-10-11,7740.3
L9G,Residential,7,2018-10-12,7043.2
L9G,Residential,7,2018-10-13,6461.6
L9G,Residential,7,2018-10-14,6431.0
L9G,Residential,7,2018-10-15,7255.5
L9G,Residential,7,2018-10-16,7862.7
L9G,Residential,7,2018-10-17,7316.3
L9G,Residential,7,2018-10-18,7790.7
L9G,Residential,7,2018-10-19,7482.0
L9G,Residential,7,2018-10-20,6931.8
L9G,Residential,7,2018-10-21,6565.3
L9G,Residential,7,2018-10-22,7519.8
L9G,Residential,7,2018-10-23,7485.1
L9G,Residential,7,2018-10-24,7668.3
L9G,Residential,7,2018-10-25,7619.5
L9G,Residential,7,2018-10-26,7523.3
L9G,Residential,7,2018-10-27,6857.5
L9G,Residential,7,2018-10-28,6640.5
L9G,Residential,7,2018-10-29,7623.9
L9G,Residential,7,2018-10-30,7780.8
L9G,Residential,7,2018-10-31,7276.2
L9G,Residential,7,2018-11-01,7307.5
L9G,Residential,7,2018-11-02,7482.0
L9G,Residential,7,2018-11-03,6713.0
L9G,Residential,7,2018-11-04,6432.5
L9G,Residential,7,2018-11-05,6635.7
L9G,Residential,7,2018-11-06,6404.3
L9G,Residential,7,2018-11-07,6474.9
L9G,Residential,7,2018-11-08,6697.8
L9G,Residential,7,2018-11-09,6672.1
L9G,Residential,7,2018-11-10,6597.7
L9G,Residential,7,2018-11-11,6243.4
L9G,Residential,7,2018-11-12,6817.7
L9G,Residential,7,2018-11-13,6806.9
L9G,Residential,7,2018-11-14,7383.2
L9G,Residential,7,2018-11-15,7450.8
L9G,Residential,7,2018-11-16,7038.1
L9G,Residential,7,2018-11-17,6433.5
L9G,Residential,7,2018-11-18,6380.1
L9G,Residential,7,2018-11-19,7346.7
L9G,Residential,7,2018-11-20,7115.0
L9G,Residential,7,2018-11-21,7357.7
L9G,Residential,7,2018-11-22,8177.0
L9G,Residential,7,2018-11-23,7661.3
L9G,Residential,7,2018-11-24,6524.3
L9G,Residential,7,2018-11-25,5824.0
L9G,Residential,7,2018-11-26,7033.7
L9G,Residential,7,2018-11-27,7127.5
L9G,Residential,7,2018-11-28,7343.7
L9G,Residential,7,2018-11-29,7280.9
L9G,Residential,7,2018-11-30,7134.3
L9G,Residential,7,2018-12-01,6434.5
L9G,Residential,7,2018-12-02,6223.8
L9G,Residential,7,2018-12-03,7440.1
L9G,Residential,7,2018-12-04,7499.7
L9G,Residential,7,2018-12-05,7869.0
L9G,Residential,7,2018-12-06,7711.2
L9G,Residential,7,2018-12-07,7652.8
L9G,Residential,7,2018-12-08,7185.5
L9G,Residential,7,2018-12-09,7034.7
L9G,Residential,7,2018-12-10,7711.4
